level	value	count	cumlative
363	0.01	59	0.682392
364	0.01	154	0.686330
365	0.01	47	0.687532
366	0.01	37	0.688478
367	0.01	121	0.691572
368	0.01	96	0.694027
369	0.01	146	0.697760
370	0.01	3	0.697837
371	0.01	135	0.701289
372	0.01	72	0.703130
373	0.01	152	0.707016
374	0.01	51	0.708321
375	0.01	63	0.709931
376	0.01	87	0.712156
377	0.01	132	0.715531
378	0.01	146	0.719265
379	0.01	30	0.720032
380	0.01	122	0.723151
381	0.01	5	0.723279
382	0.01	98	0.725785
383	0.01	71	0.727600
384	0.01	76	0.729544
385	0.01	82	0.731641
386	0.01	12	0.731947
387	0.01	101	0.734530
388	0.01	34	0.735399
389	0.01	98	0.737905
390	0.01	87	0.740130
391	0.01	35	0.741025
392	0.01	84	0.743173
393	0.01	32	0.743991
394	0.01	81	0.746062
395	0.01	58	0.747545
396	0.01	78	0.749540
397	0.01	71	0.751355
398	0.01	104	0.754015
399	0.01	19	0.754500
400	0.01	116	0.757467
401	0.01	24	0.758080
402	0.01	88	0.760330
403	0.01	109	0.763118
404	0.01	7	0.763297
405	0.01	118	0.766314
406	0.01	110	0.769127
407	0.01	37	0.770073
408	0.01	114	0.772988
409	0.01	135	0.776440
410	0.01	6	0.776593
411	0.01	98	0.779099
412	0.01	127	0.782346
413	0.01	10	0.782602
414	0.01	123	0.785747
415	0.01	95	0.788176
416	0.01	29	0.788918
417	0.01	75	0.790836
418	0.01	121	0.793930
419	0.01	19	0.794415
420	0.01	106	0.797126
421	0.01	81	0.799197
422	0.01	63	0.800808
423	0.01	41	0.801856
424	0.01	63	0.803467
425	0.01	92	0.805820
426	0.01	25	0.806459
427	0.01	87	0.808684
428	0.01	86	0.810883
429	0.01	70	0.812673
430	0.01	14	0.813031
431	0.01	80	0.815076
432	0.01	38	0.816048
433	0.01	84	0.818196
434	0.01	36	0.819116
435	0.01	43	0.820216
436	0.01	119	0.823259
437	0.01	58	0.824742
438	0.01	16	0.825151
439	0.01	84	0.827299
440	0.01	63	0.828910
441	0.01	55	0.830316
442	0.01	124	0.833487
443	0.01	5	0.833615
444	0.01	71	0.835430
445	0.01	56	0.836862
446	0.01	60	0.838396
447	0.01	76	0.840340
448	0.01	64	0.841976
449	0.01	26	0.842641
450	0.01	55	0.844047
451	0.01	73	0.845914
452	0.01	68	0.847653
453	0.01	34	0.848522
454	0.01	45	0.849673
455	0.01	78	0.851667
456	0.01	3	0.851744
457	0.01	86	0.853943
458	0.01	12	0.854250
459	0.01	46	0.855426
460	0.01	69	0.857190
461	0.01	17	0.857625
462	0.01	37	0.858571
463	0.01	34	0.859441
464	0.01	38	0.860412
465	0.01	70	0.862202
466	0.01	18	0.862662
467	0.01	22	0.863225
468	0.01	69	0.864989
469	0.01	10	0.865245
470	0.01	56	0.866677
471	0.01	27	0.867367
472	0.01	32	0.868186
473	0.01	32	0.869004
474	0.01	26	0.869669
475	0.01	44	0.870794
476	0.01	17	0.871228
477	0.01	38	0.872200
478	0.01	47	0.873402
479	0.01	10	0.873658
480	0.01	64	0.875294
481	0.01	15	0.875678
482	0.01	42	0.876752
483	0.01	42	0.877826
484	0.01	3	0.877902
485	0.01	72	0.879743
486	0.01	2	0.879794
487	0.01	10	0.880050
488	0.01	59	0.881559
489	0.01	22	0.882121
490	0.01	28	0.882837
491	0.01	32	0.883656
492	0.01	8	0.883860
493	0.01	91	0.886187
494	0.01	9	0.886417
495	0.01	34	0.887286
496	0.01	32	0.888105
497	0.01	12	0.888412
498	0.01	28	0.889128
499	0.01	48	0.890355
500	0.01	29	0.891096
501	0.01	6	0.891250
502	0.01	43	0.892349
503	0.01	34	0.893219
504	0.01	46	0.894395
505	0.01	31	0.895188
506	0.01	11	0.895469
507	0.01	34	0.896338
508	0.01	26	0.897003
509	0.01	12	0.897310
510	0.01	63	0.898921
511	0.01	5	0.899049
512	0.01	37	0.899995
513	0.01	35	0.900890
514	0.01	4	0.900992
515	0.01	76	0.902935
516	0.01	7	0.903114
517	0.01	33	0.903958
518	0.01	54	0.905339
519	0.01	0	0.905339
520	0.01	64	0.906976
521	0.01	4	0.907078
522	0.01	46	0.908254
523	0.01	33	0.909098
524	0.01	8	0.909302
525	0.01	40	0.910325
526	0.01	56	0.911757
527	0.01	37	0.912703
528	0.01	29	0.913445
529	0.01	40	0.914468
530	0.01	2	0.914519
531	0.01	45	0.915669
532	0.01	47	0.916871
533	0.01	7	0.917050
534	0.01	77	0.919019
535	0.01	16	0.919428
536	0.01	46	0.920604
537	0.01	39	0.921602
538	0.01	3	0.921678
539	0.01	55	0.923085
540	0.01	3	0.923162
541	0.01	79	0.925182
542	0.01	0	0.925182
543	0.01	11	0.925463
544	0.01	54	0.926844
545	0.01	7	0.927023
546	0.01	60	0.928557
547	0.01	3	0.928634
548	0.01	30	0.929401
549	0.01	43	0.930500
550	0.01	5	0.930628
551	0.01	57	0.932086
552	0.01	7	0.932264
553	0.01	25	0.932904
554	0.01	37	0.933850
555	0.01	33	0.934694
556	0.01	50	0.935972
557	0.01	9	0.936202
558	0.01	16	0.936611
559	0.01	43	0.937711
560	0.01	23	0.938299
561	0.01	41	0.939347
562	0.01	14	0.939705
563	0.01	10	0.939961
564	0.01	48	0.941189
565	0.01	11	0.941470
566	0.01	23	0.942058
567	0.01	15	0.942441
568	0.01	9	0.942672
569	0.01	50	0.943950
570	0.01	8	0.944155
571	0.01	53	0.945510
572	0.01	4	0.945612
573	0.01	6	0.945766
574	0.01	46	0.946942
575	0.01	0	0.946942
576	0.01	61	0.948502
577	0.01	3	0.948578
578	0.01	17	0.949013
579	0.01	31	0.949806
580	0.01	10	0.950061
581	0.01	44	0.951186
582	0.01	2	0.951238
583	0.01	45	0.952388
584	0.01	7	0.952567
585	0.01	15	0.952951
586	0.01	27	0.953641
587	0.01	9	0.953871
588	0.01	24	0.954485
589	0.01	19	0.954971
590	0.01	27	0.955661
591	0.01	1	0.955687
592	0.01	20	0.956198
593	0.01	21	0.956735
594	0.01	19	0.957221
595	0.01	40	0.958244
596	0.01	11	0.958525
597	0.01	15	0.958909
598	0.01	30	0.959676
599	0.01	13	0.960008
600	0.01	36	0.960929
601	0.01	4	0.961031
602	0.01	44	0.962156
603	0.01	1	0.962182
604	0.01	17	0.962616
605	0.01	8	0.962821
606	0.01	10	0.963077
607	0.01	21	0.963614
608	0.01	2	0.963665
609	0.01	30	0.964432
610	0.01	7	0.964611
611	0.01	28	0.965327
612	0.01	18	0.965787
613	0.01	3	0.965864
614	0.01	22	0.966426
615	0.01	3	0.966503
616	0.01	24	0.967117
617	0.01	5	0.967245
618	0.01	26	0.967909
619	0.01	6	0.968063
620	0.01	27	0.968753
621	0.01	0	0.968753
622	0.01	15	0.969137
623	0.01	17	0.969571
624	0.01	2	0.969623
625	0.01	15	0.970006
626	0.01	8	0.970211
627	0.01	22	0.970773
628	0.01	5	0.970901
629	0.01	15	0.971285
630	0.01	6	0.971438
631	0.01	25	0.972077
632	0.01	9	0.972307
633	0.01	8	0.972512
634	0.01	21	0.973049
635	0.01	9	0.973279
636	0.01	13	0.973612
637	0.01	5	0.973739
638	0.01	18	0.974200
639	0.01	0	0.974200
640	0.01	17	0.974634
641	0.01	4	0.974737
642	0.01	17	0.975171
643	0.01	3	0.975248
644	0.01	15	0.975632
645	0.01	9	0.975862
646	0.01	0	0.975862
647	0.01	16	0.976271
648	0.01	6	0.976424
649	0.01	14	0.976782
650	0.01	0	0.976782
651	0.01	9	0.977012
652	0.01	2	0.977064
653	0.01	8	0.977268
654	0.01	12	0.977575
655	0.01	18	0.978035
656	0.01	2	0.978086
657	0.01	18	0.978547
658	0.01	1	0.978572
659	0.01	11	0.978853
660	0.01	4	0.978956
661	0.01	12	0.979263
662	0.01	2	0.979314
663	0.01	12	0.979621
664	0.01	3	0.979697
665	0.01	3	0.979774
666	0.01	10	0.980030
667	0.01	10	0.980285
668	0.01	3	0.980362
669	0.01	9	0.980592
670	0.01	2	0.980643
671	0.01	8	0.980848
672	0.01	3	0.980925
673	0.01	5	0.981052
674	0.01	9	0.981283
675	0.01	4	0.981385
676	0.01	7	0.981564
677	0.01	0	0.981564
678	0.01	10	0.981820
679	0.01	0	0.981820
680	0.01	11	0.982101
681	0.01	2	0.982152
682	0.01	15	0.982536
683	0.01	5	0.982663
684	0.01	0	0.982663
685	0.01	11	0.982945
686	0.01	1	0.982970
687	0.01	5	0.983098
688	0.01	2	0.983149
689	0.01	8	0.983354
690	0.01	0	0.983354
691	0.01	14	0.983712
692	0.01	1	0.983737
693	0.01	5	0.983865
694	0.01	2	0.983916
695	0.01	7	0.984095
696	0.01	3	0.984172
697	0.01	2	0.984223
698	0.01	4	0.984325
699	0.01	4	0.984428
700	0.01	4	0.984530
701	0.01	6	0.984683
702	0.01	1	0.984709
703	0.01	6	0.984862
704	0.01	0	0.984862
705	0.01	8	0.985067
706	0.01	2	0.985118
707	0.01	3	0.985195
708	0.01	3	0.985272
709	0.01	5	0.985399
710	0.01	3	0.985476
711	0.01	9	0.985706
712	0.01	4	0.985809
713	0.01	0	0.985809
714	0.01	10	0.986064
715	0.01	0	0.986064
716	0.01	5	0.986192
717	0.01	2	0.986243
718	0.01	8	0.986448
719	0.01	1	0.986473
720	0.01	5	0.986601
721	0.01	3	0.986678
722	0.01	0	0.986678
723	0.01	2	0.986729
724	0.01	3	0.986806
725	0.01	1	0.986831
726	0.01	0	0.986831
727	0.01	8	0.987036
728	0.01	0	0.987036
729	0.01	8	0.987240
730	0.01	7	0.987419
731	0.01	0	0.987419
732	0.01	1	0.987445
733	0.01	1	0.987471
734	0.01	2	0.987522
735	0.01	2	0.987573
736	0.01	1	0.987598
737	0.01	6	0.987752
738	0.01	0	0.987752
739	0.01	5	0.987880
740	0.01	0	0.987880
741	0.01	4	0.987982
742	0.01	0	0.987982
743	0.01	9	0.988212
744	0.01	1	0.988238
745	0.01	2	0.988289
746	0.01	3	0.988366
747	0.01	0	0.988366
748	0.01	1	0.988391
749	0.01	0	0.988391
750	0.01	5	0.988519
751	0.01	1	0.988545
752	0.01	1	0.988570
753	0.01	4	0.988672
754	0.01	2	0.988724
755	0.01	1	0.988749
756	0.01	4	0.988851
757	0.01	0	0.988851
758	0.01	3	0.988928
759	0.01	1	0.988954
760	0.01	8	0.989158
761	0.01	3	0.989235
762	0.01	0	0.989235
763	0.01	2	0.989286
764	0.01	1	0.989312
765	0.01	2	0.989363
766	0.01	4	0.989465
767	0.01	0	0.989465
768	0.01	3	0.989542
769	0.01	0	0.989542
770	0.01	5	0.989670
771	0.01	0	0.989670
772	0.01	2	0.989721
773	0.01	1	0.989746
774	0.01	5	0.989874
775	0.01	0	0.989874
776	0.01	4	0.989976
777	0.01	1	0.990002
778	0.01	5	0.990130
779	0.01	3	0.990207
780	0.01	1	0.990232
781	0.01	2	0.990283
782	0.01	0	0.990283
783	0.01	0	0.990283
784	0.01	1	0.990309
785	0.01	2	0.990360
786	0.01	0	0.990360
787	0.01	0	0.990360
788	0.01	2	0.990411
789	0.01	1	0.990437
790	0.01	7	0.990616
791	0.01	0	0.990616
792	0.01	2	0.990667
793	0.01	3	0.990744
794	0.01	0	0.990744
795	0.01	0	0.990744
796	0.01	4	0.990846
797	0.01	1	0.990871
798	0.01	1	0.990897
799	0.01	2	0.990948
800	0.01	2	0.990999
801	0.01	3	0.991076
802	0.01	1	0.991102
803	0.01	3	0.991178
804	0.01	2	0.991229
805	0.01	0	0.991229
806	0.01	3	0.991306
807	0.01	1	0.991332
808	0.01	3	0.991408
809	0.01	2	0.991460
810	0.01	2	0.991511
811	0.01	4	0.991613
812	0.01	0	0.991613
813	0.01	5	0.991741
814	0.01	0	0.991741
815	0.01	4	0.991843
816	0.01	0	0.991843
817	0.01	6	0.991997
818	0.01	0	0.991997
819	0.01	4	0.992099
820	0.01	6	0.992252
821	0.01	2	0.992303
822	0.01	8	0.992508
823	0.01	0	0.992508
824	0.01	3	0.992585
825	0.01	0	0.992585
826	0.01	8	0.992789
827	0.01	0	0.992789
828	0.01	10	0.993045
